number,value,datetime_start,datetime_complete,duration,params_conv2_drop,params_fc1_neurons,params_learning_rate,params_num_conv1_channels,params_num_conv2_channels,params_optimizer,state
10,0.02197927050292492,2022-11-04 00:28:42.853974,2022-11-04 00:30:49.423073,0 days 00:02:06.569099,0.05098173136253968,130,0.0009104572081189141,96,96,Adam,COMPLETE
48,0.02202610857784748,2022-11-04 02:55:51.949246,2022-11-04 02:59:07.527292,0 days 00:03:15.578046,0.13509851100032705,160,0.00010796646921616633,112,64,Adam,COMPLETE
91,0.022117972373962402,2022-11-04 05:38:35.317634,2022-11-04 05:40:55.617778,0 days 00:02:20.300144,0.19445979647921005,150,0.00016283612806364402,112,64,Adam,COMPLETE
13,0.022412462159991264,2022-11-04 00:35:57.745253,2022-11-04 00:38:04.212544,0 days 00:02:06.467291,0.1498803294100577,60,0.000642122329299245,112,96,Adam,COMPLETE
0,0.022439127787947655,2022-11-03 23:42:41.127673,2022-11-03 23:48:02.598105,0 days 00:05:21.470432,0.14177364719522603,180,9.072409918779937e-05,16,64,Adam,COMPLETE
6,0.024082310497760773,2022-11-04 00:10:32.844675,2022-11-04 00:15:12.732921,0 days 00:04:39.888246,0.18800087591123688,60,6.71713371164459e-05,80,80,Adam,COMPLETE
64,0.02410619519650936,2022-11-04 04:00:15.113334,2022-11-04 04:04:26.624996,0 days 00:04:11.511662,0.1951832071590206,160,4.326478927370049e-05,80,112,Adam,COMPLETE
37,0.024869203567504883,2022-11-04 02:11:55.749652,2022-11-04 02:16:33.400039,0 days 00:04:37.650387,0.14486668366600997,40,0.00037411949910623124,16,48,Adam,COMPLETE
40,0.026471422985196114,2022-11-04 02:25:22.962923,2022-11-04 02:30:02.123127,0 days 00:04:39.160204,0.19386025748026814,20,9.476488953751791e-05,128,128,Adam,COMPLETE
5,0.0389627180993557,2022-11-04 00:05:40.965876,2022-11-04 00:10:32.844675,0 days 00:04:51.878799,0.1973227650849031,160,2.0687627566915955e-05,64,48,Adam,COMPLETE
57,0.04073319584131241,2022-11-04 03:31:19.634975,2022-11-04 03:36:00.543310,0 days 00:04:40.908335,0.18604397442344886,60,1.9607713777273046e-05,96,112,Adam,COMPLETE
1,0.0457451269030571,2022-11-03 23:48:02.598105,2022-11-03 23:52:49.710477,0 days 00:04:47.112372,0.1854855090716555,10,0.00012405720627910386,128,128,Adam,COMPLETE
16,0.08670416474342346,2022-11-04 00:46:16.426016,2022-11-04 00:50:56.295404,0 days 00:04:39.869388,0.16755576978397985,130,1.1225466743209401e-05,112,16,Adam,COMPLETE
18,0.1571577489376068,2022-11-04 00:54:53.949186,2022-11-04 00:59:33.281370,0 days 00:04:39.332184,0.13036293489222217,160,0.0005236326501703913,112,64,SGD,COMPLETE
27,0.2746249735355377,2022-11-04 01:29:13.091230,2022-11-04 01:33:52.533711,0 days 00:04:39.442481,0.11394778247202358,90,0.00023505738261564308,128,96,SGD,COMPLETE
70,0.3794633746147156,2022-11-04 04:25:55.587335,2022-11-04 04:30:34.900483,0 days 00:04:39.313148,0.1705646051005542,200,0.00015408006097327806,112,112,SGD,COMPLETE
47,0.4643031656742096,2022-11-04 02:51:13.066605,2022-11-04 02:55:51.949246,0 days 00:04:38.882641,0.15119115006201123,80,0.00015567861757720497,80,128,SGD,COMPLETE
9,0.6872042417526245,2022-11-04 00:24:04.253312,2022-11-04 00:28:42.853974,0 days 00:04:38.600662,0.19629255933577472,50,0.00011976070018847589,80,48,SGD,COMPLETE
87,0.9333335757255554,2022-11-04 05:22:02.840522,2022-11-04 05:26:42.042440,0 days 00:04:39.201918,0.1983177840269442,180,8.934204923832032e-05,64,80,SGD,COMPLETE
4,0.9772093296051025,2022-11-04 00:00:56.204568,2022-11-04 00:05:40.957828,0 days 00:04:44.753260,0.11072937344014448,10,0.00028776254721041576,16,128,SGD,COMPLETE
58,1.1955187320709229,2022-11-04 03:36:00.543310,2022-11-04 03:40:37.980259,0 days 00:04:37.436949,0.16465582893631792,130,8.152905954962754e-05,112,16,SGD,COMPLETE
8,1.4920156002044678,2022-11-04 00:19:24.915859,2022-11-04 00:24:04.253312,0 days 00:04:39.337453,0.18798545423078888,100,5.0310759954118736e-05,128,128,SGD,COMPLETE
39,1.5745265483856201,2022-11-04 02:20:45.572202,2022-11-04 02:25:22.954810,0 days 00:04:37.382608,0.09995204080953675,170,6.59528910995622e-05,32,112,SGD,COMPLETE
36,1.988769292831421,2022-11-04 02:07:17.681910,2022-11-04 02:11:55.749652,0 days 00:04:38.067742,0.19915397536870513,120,3.528338072625348e-05,80,32,SGD,COMPLETE
2,2.2346270084381104,2022-11-03 23:52:49.710477,2022-11-03 23:57:33.282562,0 days 00:04:43.572085,0.11065850432301373,200,2.868311954678917e-05,32,32,SGD,COMPLETE
